rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
76,10726971,Plaza de la Virgen de los Reyes,Points of Interest & Landmarks,,4.4,75,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d10726971-Reviews-Plaza_de_la_Virgen_de_los_Reyes-Seville_Province_of_Seville_Andalucia.html
77,11555453,Mercado del Arenal,Flea & Street Markets,,3.6,47,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d11555453-Reviews-Mercado_del_Arenal-Seville_Province_of_Seville_Andalucia.html
78,191202,Monasterio de la Cartuja,Architectural Buildings,Casco Antiguo,3.6,198,FALSE,,,"This beautiful monastery, founded in 1400, served as the treasury for Christopher Columbus' family wealth.",https://www.tripadvisor.com/Attraction_Review-g187443-d191202-Reviews-Monasterio_de_la_Cartuja-Seville_Province_of_Seville_Andalucia.html
79,532304,Convento de Santa Paula,Religious Sites,Casco Antiguo,4.2,76,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d532304-Reviews-Convento_de_Santa_Paula-Seville_Province_of_Seville_Andalucia.html
80,7940153,Basilica de Jesús del Gran Poder,Religious Sites • Churches & Cathedrals,,4.3,127,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d7940153-Reviews-Basilica_de_Jesus_del_Gran_Poder-Seville_Province_of_Seville_Andalucia.html
81,9800288,Estadio Benito Villamarín,Arenas & Stadiums,,3.8,129,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d9800288-Reviews-Estadio_Benito_Villamarin-Seville_Province_of_Seville_Andalucia.html
82,7951016,Parque del Alamillo,Nature & Wildlife Areas • Parks,,4.2,52,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d7951016-Reviews-Parque_del_Alamillo-Seville_Province_of_Seville_Andalucia.html
83,6528717,Basílica del Santísimo Cristo de la Expiración,Churches & Cathedrals,,4.6,48,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d6528717-Reviews-Basilica_del_Santisimo_Cristo_de_la_Expiracion-Seville_Province_of_Seville_Andalu.html
84,10116290,Centro Comercial Los Arcos,Shopping Malls,,3.6,64,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d10116290-Reviews-Centro_Comercial_Los_Arcos-Seville_Province_of_Seville_Andalucia.html
85,6740767,Real Monastery of San Leandro,Points of Interest & Landmarks,,4.1,52,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d6740767-Reviews-Real_Monastery_of_San_Leandro-Seville_Province_of_Seville_Andalucia.html
86,20292227,Cuarto Alto de los Reales Alcázares,(7),Historic Sites • Points of Interest & Landmarks,5,7,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d20292227-Reviews-Cuarto_Alto_de_los_Reales_Alcazares-Seville_Province_of_Seville_Andalucia.html
87,13998745,Santa Justa Railway Station,Architectural Buildings,,3.3,116,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d13998745-Reviews-Santa_Justa_Railway_Station-Seville_Province_of_Seville_Andalucia.html
